,Adair,Adams,Allamakee,Appanoose,Audubon,Benton,Black Hawk,Boone,Bremer,Buchanan,Buena Vista,Butler,Calhoun,Carroll,Cass,Cedar,Cerro Gordo,Cherokee,Chickasaw,Clarke,Clay,Clayton,Clinton,Crawford,Dallas,Davis,Decatur,Delaware,Des Moines,Dickinson,Dubuque,Emmet,Fayette,Floyd,Franklin,Fremont,Greene,Grundy,Guthrie,Hamilton,Hancock,Hardin,Harrison,Henry,Howard,Humboldt,Ida,Iowa,Jackson,Jasper,Jefferson,Johnson,Jones,Keokuk,Kossuth,Lee,Linn,Louisa,Lucas,Lyon,Madison,Mahaska,Marion,Marshall,Mills,Mitchell,Monona,Monroe,Montgomery,Muscatine,Osceola,Page,Palo Alto,Plymouth,Pocahontas,Polk,Pottawattamie,Poweshiek,Ringgold,Sac,Scott,Shelby,Sioux,Story,Tama,Taylor,Union,Van Buren,Wapello,Warren,Washington,Wayne,Webster,Winnebago,Winneshiek,Woodbury,Worth,Wright
Adair,0,0.0463372086654571,0.00385895797841016,0.00930727734215181,0.0247968735138269,0.00626542310345449,0.00591121066422698,0.0144369251262849,0.0057183710960589,0.00527329207445149,0.00828112745623112,0.00653571557616925,0.0107703652217835,0.0164946209702665,0.0428134377359573,0.00480314227805144,0.00608627515961302,0.00701674543511745,0.00506173695766706,0.0202820727234613,0.00649729259579541,0.00416264476867992,0.00401104739743273,0.0131472899463466,0.0266160492658524,0.00745219476386198,0.0175269233542073,0.00469682580293766,0.0047656500340621,0.00562720393823076,0.00397846997528551,0.00582539994404852,0.00487008157893987,0.00574572073974981,0.00722983725169842,0.0111623114197967,0.0164435997378326,0.0072515811484591,0.0308638899634022,0.0097359024920537,0.0066588542839285,0.00848423199710784,0.0100460068825047,0.00554409497564635,0.00478904395850744,0.00798698139335878,0.00906613700915378,0.0065344531517249,0.00380697673641854,0.0110775676963714,0.00632679086812087,0.00546043351511364,0.00457689916067517,0.00699976197487598,0.0061400873700627,0.00500575261427313,0.00545775945454646,0.00483347260389096,0.0138043234622317,0.00476131851302724,0.0279109846329979,0.00910439905366735,0.0115145959615325,0.00859889566130805,0.011938572473712,0.00509400492611281,0.00830690142632275,0.0101720771206164,0.0203996442820491,0.00468261306088085,0.00550580861422915,0.0160987885024785,0.00685033600010863,0.00577662318120289,0.00881302997721137,0.0144645086481723,0.0118511834211459,0.00809238711220341,0.0208593239482438,0.009994752165592,0.00408298302361179,0.0172587430910746,0.00527037311112617,0.0118957959926846,0.00705962794968056,0.020124676332046,0.0375934817698335,0.00588256310230996,0.00741288443129645,0.014825668713082,0.00554910354857781,0.0121117933267517,0.0101563079787705,0.00561526099196628,0.00423294068264212,0.00685929406104126,0.0054148093187556,0.00760261958610717
Adams,0.0487801917738319,0,0.00375299261535587,0.00912099072435013,0.0213416946809163,0.0058696170914173,0.00553124605698504,0.0116572905684378,0.00536115350238966,0.00500548478036937,0.00789453640814163,0.00602983194023066,0.00968037126571739,0.014324842900062,0.0556170285445744,0.00466159174995721,0.00567498722715522,0.00698238009930455,0.0048038597724391,0.0179074179839559,0.0063154240277147,0.00403365516906319,0.00394940403668513,0.0128088162339285,0.0178097450486613,0.00732099125013191,0.0173584136345531,0.00451526822850713,0.0047458402987486,0.00550583154952513,0.00388227769132463,0.00561085876809649,0.00464745692302837,0.00538610692092222,0.00658913789681724,0.0150634214741754,0.0133328985041698,0.00660678729942767,0.0209798572569811,0.0085000505510345,0.00619010657884162,0.00754952317783557,0.0112183065028481,0.00545047129311933,0.00456988318772176,0.00732368256241112,0.00896518619541191,0.00615688883402847,0.00374120808489735,0.00962479787292559,0.00614926555300171,0.00526857964660088,0.00442905622075058,0.00664624629400286,0.00580314631529065,0.00501574803079193,0.00519468301279701,0.00475264307681803,0.0125141665746773,0.00486238911282256,0.0195073615673263,0.00840977873573769,0.0101419755533534,0.00767027363283493,0.0155719049381988,0.00483925777845092,0.00885305678282022,0.00954026178499724,0.0342582181147529,0.00458954423836737,0.00547519510552593,0.0259701145510783,0.00651426867412487,0.00598047770302759,0.0081451910124543,0.01191596027459,0.0144240100587642,0.00741610210371653,0.0264154138712814,0.00945213968502518,0.00401967520813092,0.0175053532085511,0.00539397929688718,0.009973173182273,0.00649769031852599,0.034235568418803,0.0408099671198108,0.00584183847658631,0.00711763306263688,0.0122448531626871,0.0053640138703273,0.0119581036866291,0.00892966911955462,0.00532975094477594,0.00408340012304209,0.00715356417514227,0.00512903306191901,0.00693649682060753
Allamakee,0.00615492046143587,0.00568612588947819,0,0.00678487030460795,0.00612831890127661,0.0137446467017093,0.0175328575185687,0.00808205657381336,0.0187907538950834,0.0204843615136055,0.00667604330480228,0.0145462846781302,0.00725104569030053,0.00651624631818483,0.00575502992134754,0.0127663562571292,0.0134338581250147,0.00584288697248861,0.0224749339631511,0.00654884013463668,0.00665165508003726,0.0396380037893848,0.0120967796698313,0.00591658124799867,0.00719529493576847,0.00716812716635617,0.0061816954008166,0.0227786003133121,0.00782090545617522,0.00673658638991147,0.0224733871712373,0.00767263249248102,0.0288446161544289,0.0153566914951379,0.0121929112569677,0.00459507449109118,0.00719740992893877,0.0131467932212527,0.00662177861675233,0.0095166064942161,0.0102319203182265,0.0110501999734989,0.00497607364393088,0.00828108175270546,0.02313847313985,0.00860469601831582,0.00587441639024537,0.0112245601220967,0.0156008886794177,0.00891388458931545,0.00836517121577302,0.0109740412413185,0.0173228481969618,0.00927551154014414,0.00919719348882767,0.00716190627351447,0.0153328315569762,0.00934473535382147,0.0070459900377686,0.00505887002357814,0.00693955254296336,0.00844703465072478,0.00825016412050615,0.0110573083366595,0.00475466967501869,0.0161947177003117,0.00503381931930182,0.00744036453077808,0.0052032210820179,0.010382728019951,0.00599729991967096,0.00497273594611971,0.00752242109353866,0.00495351778638313,0.00740847008576556,0.00809473958362385,0.00489569806661835,0.0101464492413252,0.00562468021840869,0.00645409324021977,0.0117033915828633,0.00573466101513578,0.00509497059162401,0.00910351458653066,0.0128187161073952,0.00526318640812923,0.00594100345585261,0.00732839412186108,0.00811545896207955,0.0079242497978727,0.0103330593799851,0.00639638854190281,0.00840455496786037,0.0103154105108006,0.0461672863958385,0.00503774764997598,0.0126065698061604,0.00995988950507794
Appanoose,0.0108242432191493,0.0100763505068318,0.00494725210080289,0,0.00805597387043934,0.00976744448709048,0.00770606971547806,0.00922370573606576,0.00695408469773428,0.00739445852263386,0.00557830315683206,0.00730160247923569,0.00668433101930902,0.00744544116208694,0.00900574617911166,0.00843539742095154,0.00617266991327236,0.00487321212068353,0.00589541408638527,0.019997048534392,0.00488501426606852,0.00573666529978915,0.00672784034919367,0.00649001677310345,0.0115912108891309,0.0394185781243123,0.0208817024584377,0.00684494593656207,0.0106175123719015,0.00451371001620079,0.00585586203665254,0.00480974898811929,0.00640662336338342,0.00611770687529725,0.00725632694762543,0.00657407653694577,0.00821668208519432,0.00849630943611359,0.00924071455075622,0.00808357616986647,0.00592255140445893,0.00847961583258949,0.00562401366817398,0.0138613564963242,0.00549130207285966,0.00621677257895659,0.00553584750470272,0.0123080948204246,0.00589359917371848,0.0157355983219369,0.0178843459629207,0.0107361761567141,0.00719208678715179,0.0172974707513743,0.00531651203680526,0.012237660842792,0.00868620289907742,0.00992149007762771,0.0307013014829098,0.00378732986331087,0.0146263952767397,0.0246571017419659,0.020851417365498,0.0106132218751973,0.00641233077779862,0.00542107471455239,0.00511530301025092,0.0484608908718926,0.00805317230782576,0.00893968738185232,0.00430313181343062,0.00838535162336714,0.00527805922060596,0.0042098478340263,0.00607229669775676,0.0158342554331279,0.00617366912844647,0.01465139144907,0.0135500101493585,0.00602238686010894,0.00696985292654794,0.00706547727659146,0.00402250777430483,0.0107212466427532,0.0101140202970625,0.0102054342920114,0.0129624707863162,0.017677995898755,0.0258293460366282,0.0169389691302721,0.0114766921905654,0.0403170034610577,0.00726441840576508,0.00517817168509595,0.0051539151913219,0.00463587826667568,0.00535597898255845,0.00654672408487523
Audubon,0.0250546273851601,0.0204836001297571,0.00388221856993244,0.00699897083172109,0,0.00581236133218689,0.00579091448089108,0.0160300622068448,0.00575456748210187,0.00510020068334848,0.0120116568848068,0.00670229633321499,0.0162116278811372,0.0400160943651611,0.0318942219744014,0.00442135399624605,0.00659288416705702,0.00984461544608273,0.00522481469466678,0.0115786169671516,0.0086035828056581,0.00408658712748114,0.00374081314363914,0.0282125759914248,0.019514383794214,0.00597046684593829,0.0104163077915386,0.0045213371885348,0.00419145191118839,0.00711121419387165,0.00383601001238286,0.00721369834097437,0.00482344815420165,0.00610943070870013,0.00768281876065674,0.0110095668420783,0.0251869296696116,0.00717617670119742,0.0442245280905774,0.0107758604971948,0.00772374445756131,0.00871243977305848,0.0146148296890477,0.00479132459570789,0.00498902207515347,0.00999480320094503,0.0144246504816424,0.00581552676593271,0.00362291017445163,0.00914749893409515,0.00536240182849112,0.00489574011567386,0.00432572727791612,0.00595973750550695,0.00732425216291505,0.00432890909574788,0.00509967452513657,0.00431781700651089,0.00940927682490658,0.00595102751788053,0.0153159543191601,0.00732066645486955,0.00893385213080803,0.00804648411888843,0.0132888648630323,0.00546555862550263,0.0120636250913665,0.0076700481152158,0.0180807924337093,0.0042418504261274,0.00705917751564145,0.0125868135053354,0.00886970027543385,0.00758655794027943,0.0123015262924438,0.0111044781379203,0.0153397134632139,0.0070115513087994,0.0116863711713582,0.0162842130161155,0.00379201857865985,0.0455467181024488,0.00676245694774136,0.0112639362960412,0.00658245235783097,0.0127372673570605,0.0152206856577947,0.00495608712742797,0.00608764444679725,0.0110318364842045,0.00493037417201922,0.00832068963621784,0.0127841267793319,0.00647004868269351,0.00432789618170532,0.00947419843792296,0.0060055318936267,0.00882402326403867
Benton,0.0062300385828237,0.00554416909865616,0.00856882981653173,0.00835115216274004,0.00572007753242833,0,0.025549444131803,0.00860769174335295,0.0168668624832874,0.026023004597627,0.00525450786097329,0.0147421755851937,0.00628543071351718,0.00594407924544565,0.00548916446983206,0.0163244964692874,0.00971372640278859,0.00439617518667303,0.0113069144670909,0.00748015602149683,0.00482501447970773,0.0115718221182232,0.0098829818547011,0.00509076785463191,0.00794258556914093,0.00915500743067279,0.00682483498533081,0.0181305055603676,0.00854132548936041,0.00461124825767212,0.0108304826504101,0.00522694419698363,0.0158097443454941,0.0103852910540014,0.011718792593311,0.00399278447195724,0.00695546731597604,0.0191991549797415,0.0065697060686282,0.00982992106177609,0.00762166587008737,0.0131463159459831,0.00411048628135596,0.01065548089919,0.00970607850587348,0.00697948655600388,0.00471294314434065,0.0336177887441479,0.00946328226650571,0.0141521653235693,0.0120075724120932,0.0185710818747627,0.016639695936993,0.0168684815418425,0.00636111217858079,0.0078311693062859,0.0409164621563191,0.0110842896830182,0.00882098158768049,0.00347348082405823,0.0079208428899662,0.013642869427291,0.0123123753747309,0.0200161493094989,0.00410295806857978,0.0085691800068815,0.00400442218053709,0.0100952517272733,0.00476625916441752,0.0120503755201075,0.00416047304832073,0.00457231916044743,0.00554035387959559,0.00362335830860378,0.00603792484487136,0.0109205320399965,0.00417472223417611,0.0236665466816846,0.00571754554192342,0.00532909723238839,0.0100877873779124,0.0050945867926829,0.00360681496370157,0.0116826618074936,0.0459768130600764,0.00505417238247717,0.00612915530037971,0.0088739973414944,0.0120255153564141,0.0105888295402688,0.0167606287406657,0.00741380054180483,0.00772352034773145,0.00660886159411207,0.00915428235135961,0.00384011476217084,0.00760093973125755,0.0083214614183771
Black Hawk,0.00591364804019499,0.00525639967556955,0.0109971296230432,0.00662883307735819,0.00573370264248039,0.0257051510329955,0,0.00894491024617335,0.0496520837411789,0.0377299446270049,0.00581907597944792,0.0275105771142571,0.00689377301134141,0.00615471330803059,0.00531455648266722,0.0111904432885958,0.0146187081623365,0.00479366953400502,0.0203204149500599,0.00654285159658261,0.00545506709217696,0.0137444851155184,0.0081271818568903,0.00528090670678846,0.0075775895924261,0.00692058414707657,0.00596325911129454,0.0187930661486543,0.00648356068596398,0.00528512966560522,0.0107406017159644,0.00617044737270678,0.0276324420607882,0.0168907195906572,0.0169658871628432,0.00387694887157017,0.00723663662040389,0.0293841619748634,0.00651295595783202,0.0114320158031649,0.00984077159958903,0.016406093129541,0.00418527456915162,0.00756987257850851,0.0156641768296856,0.00829896826198524,0.00503180409706052,0.0146659612988253,0.00859893311858853,0.0113105005181993,0.00823849828226226,0.0110808525273948,0.0136048836606288,0.0103648434514823,0.00789880039647889,0.00603488523076722,0.0206903855312699,0.00795547776832535,0.00730004505196953,0.00379322480662628,0.00719922106502266,0.00964216363251854,0.0096299897255576,0.0187472424708338,0.00403473207117416,0.0128737999333513,0.00416016381536648,0.00779399512293646,0.00460384370851705,0.00864559574021097,0.00465394382862022,0.00434372144435019,0.00643244554975564,0.00387587835081019,0.0068100306836899,0.00943022121388134,0.00416269999929125,0.013973395519797,0.00519245246812271,0.00575500521267164,0.00813606877992445,0.00515482951632878,0.0039120906703817,0.0116176275439018,0.0278023615850954,0.0047153633451166,0.00563479265400321,0.00663665732735337,0.00839663765856282,0.00906234886680798,0.0103060392785721,0.00620098907912682,0.00877479680168587,0.00852740069828065,0.0133243398009596,0.00405989691154076,0.0105364427236796,0.0105122891073476
Boone,0.0138246682329537,0.0106038603766843,0.00485232078567944,0.00759469899806423,0.0151923235120772,0.00828946280834865,0.00856203432700112,0,0.00850569350053493,0.00703236912561233,0.01122852214161,0.0108725197499053,0.0190466046811355,0.0184541885438195,0.0116605679017003,0.005507424281809,0.0100558617622283,0.0080126662895989,0.0072807875452795,0.0113108489445582,0.00850586313312682,0.00518692556973515,0.00445294878851788,0.011995266571773,0.026601436995552,0.00671638184546538,0.00948389117341218,0.00590758723465758,0.00475698579594153,0.0072781521550602,0.00473273170597124,0.0081930058515726,0.00653557911099656,0.00906457396448201,0.013608101847549,0.0063297515024404,0.0348812708925069,0.0122836159027779,0.0217365947194865,0.0285301676593001,0.011577339599697,0.0180648577057367,0.00749771817005535,0.00559827363787863,0.00676150547745925,0.0150913983149049,0.00976996969728203,0.00787933459121476,0.00435227527012084,0.0148142935406754,0.00640021019457689,0.00615192841504576,0.00548679209512325,0.00761824580906945,0.00964465363218016,0.00480908298651806,0.00685849577752688,0.00510720323573772,0.0106340354655508,0.00514640468769946,0.0166615369614668,0.0095700754353038,0.0125559528181034,0.0145331512920028,0.00692825547862069,0.00752361650033175,0.00720962435606659,0.00907139749151327,0.00857950578914908,0.00508986450858456,0.0065831543014185,0.00735111743695969,0.0101454728598666,0.00583080813833948,0.0145558138109465,0.0178347842324432,0.00743244006406565,0.0102036963247556,0.00869287182903887,0.0127159275336136,0.00451278140843275,0.0116443705161655,0.00560284042081913,0.0309032385798717,0.0101638285668737,0.00806546451904934,0.0107587842217358,0.00557903529195744,0.00734729842728411,0.0165596019509044,0.00613191409517119,0.00838419811605967,0.0271964243326339,0.00858919785708927,0.00559051423246668,0.00659002493461021,0.00827896842215433,0.015100172711152
Bremer,0.00582247810065798,0.00518537459427791,0.011995748090998,0.00608836410951987,0.00579905454740379,0.0172714778564359,0.0505351979343112,0.00904409766238852,0,0.02523616661102,0.00623347736423991,0.0385724098034575,0.00729917116498485,0.00632143015931409,0.0052927062895295,0.0094400085340511,0.0196784653040594,0.00510302208100025,0.0336131304100298,0.00621376791985834,0.00593329631934189,0.0133786199521004,0.00731201703723892,0.00544950482234502,0.00741519235040341,0.00625509577897238,0.00567403877995603,0.0157239361913351,0.00583814287016107,0.00580598213376002,0.00995488045433028,0.00690446486018196,0.0281175723973209,0.025066646157825,0.0204578688945506,0.00388146523197972,0.00740936112613007,0.02739713291558,0.00652733727211186,0.0121145106443521,0.0116180605028866,0.0170795012316988,0.00428936611455035,0.00668757581015303,0.022626103511428,0.00922257587011367,0.00528404356194563,0.0115682099861358,0.00791502803146803,0.0101166301728203,0.00721564257798289,0.00923093008072559,0.0114942393792034,0.00879790641805617,0.00912979642838689,0.00547760351216813,0.0151028972776786,0.00699416388093838,0.00677702708519424,0.00405021563575266,0.00691703551804808,0.00846441127251,0.00867248332088788,0.0161486672405839,0.00406321107022489,0.017661080141041,0.00431095944648969,0.00706718519300621,0.00459002830386695,0.00754373008918407,0.00503765602027016,0.0043001179658272,0.00710065444541307,0.00408677708428082,0.00734922633805129,0.00876702202792472,0.00422019339925407,0.0114913986319048,0.00502916763542582,0.00606881233432779,0.00728711605444202,0.00525059272448302,0.0041591412794685,0.0112122226182361,0.0192472002258809,0.00462600460293588,0.00547739990806965,0.00597398229440921,0.00739214598371213,0.00842109636334518,0.00868860327324831,0.00580317379205689,0.00938881987167522,0.010168903564969,0.0163080873211648,0.00425005943130495,0.013353146432929,0.0120623549823449
Buchanan,0.00561368753491491,0.00506172934630673,0.01367213837678,0.00676858519198936,0.00537356680785243,0.0278601541775561,0.040148889806825,0.00781786297052021,0.0263848279749567,0,0.00536480505738298,0.0170859168617083,0.00621245242191364,0.00567780214357369,0.00507437594428006,0.0153565010729956,0.0115700705829183,0.0045259845044801,0.0174059527342434,0.00633143550018076,0.00507896938741116,0.0209919975982673,0.0107626784167749,0.00495754201959313,0.00694607888373871,0.00729233553092923,0.00585504959595107,0.0397592582191053,0.00751749802439119,0.00495603194949474,0.0159024259763339,0.00568525536488189,0.0414185100414582,0.013176745533804,0.0124748073038715,0.00381416934681743,0.00652899187922516,0.0178828558119304,0.00602739004320341,0.00937642448784233,0.00838288901578725,0.0122634649230826,0.00403526109295682,0.0086210035450737,0.0143767438833743,0.00724356517292163,0.00472983869142073,0.0162362322409963,0.0118357449054763,0.0102528498288328,0.009092616497816,0.0137125288213571,0.0220471675794724,0.0111306636290401,0.00702866538265019,0.00681510203394019,0.033083537550711,0.00962874825112813,0.00712288126915537,0.00367275874153524,0.00675951479698281,0.00959358666707486,0.00911869819333119,0.0144607190326022,0.00393883490482607,0.0112014463546259,0.00399852942556361,0.0077971237340996,0.00446609203476109,0.01088447286179,0.00441901172513806,0.00426447057363065,0.00586124344802576,0.00374017266349351,0.0061387492614113,0.00862504405640569,0.00403602992292128,0.0133905235965512,0.00509811063682134,0.00531999802646818,0.0106988920778251,0.0048770708966477,0.00377337872263534,0.00979671131407584,0.0217941497808997,0.00462513036124661,0.00544682688722644,0.00731122675371881,0.00887476923917705,0.0083770881035457,0.0124092799550998,0.00619741816249318,0.00758713172165152,0.00757826830718855,0.014683309712939,0.00390302689319641,0.00916482817422011,0.0087651035365578
