county_name,2005,2010
Adair,159,139.1
Adams,157.1,139.3
Allamakee,177.4,175.8
Appanoose,150,75.2
Audubon,172.1,160.3
Benton,170,179
Black Hawk,180.7,170.4
Boone,192.4,162.5
Bremer,193,174.6
Buchanan,178.7,167.5
Buena Vista,185.3,178.3
Butler,185.6,180.5
Calhoun,182.5,173.3
Carroll,177,182
Cass,168.2,155.1
Cedar,144.4,174.4
Cerro Gordo,184,173
Cherokee,185.5,186.9
Chickasaw,187.2,182
Clarke,146.3,84.5
Clay,183.1,177.6
Clayton,180.9,176.9
Clinton,116.8,171.2
Crawford,179.2,185.8
Dallas,181.7,141.9
Davis,115,84
Decatur,163.9,94.3
Delaware,177.1,175.8
Des Moines,154.5,112.1
Dickinson,170.4,181
Dubuque,183,170.4
Emmet,182.7,183.1
Fayette,189.8,166.5
Floyd,184.2,177.8
Franklin,185.2,168
Fremont,161.3,152.7
Greene,185.3,167.3
Grundy,189.9,192.9
Guthrie,161.2,141.3
Hamilton,189,169.6
Hancock,182.3,176.9
Hardin,188.6,185.8
Harrison,155,159.4
Henry,153,109
Howard,183.8,191.4
Humboldt,188.2,153.2
Ida,177,191.8
Iowa,147.3,158.5
Jackson,124.2,157.2
Jasper,188.5,152.7
Jefferson,143.6,98.5
Johnson,135.8,150.9
Jones,148.3,168.9
Keokuk,135,111.2
Kossuth,187.5,184
Lee,129.4,103.2
Linn,152,170.3
Louisa,133.5,125.1
Lucas,154.8,71.2
Lyon,185.2,195.2
Madison,154.9,124.6
Mahaska,160.5,116.6
Marion,159.9,112.7
Marshall,191.9,183.3
Mills,163.7,160.2
Mitchell,186.6,190.5
Monona,157.1,168.7
Monroe,154.3,77.4
Montgomery,158.1,157
Muscatine,135.3,144.8
Osceola,185.8,192.7
Page,164.7,150.1
Palo Alto,186.5,174
Plymouth,171.8,184.7
Pocahontas,183.3,172.6
Polk,174.7,139.4
Pottawattamie,171.1,164.8
Poweshiek,176.4,153.2
Ringgold,153.8,94.1
Sac,185.8,189.7
Scott,148.9,151.9
Shelby,171.7,171.6
Sioux,185.3,196.5
Story,187.6,163.9
Tama,181.4,176.7
Taylor,156.8,122.2
Union,157.2,113.2
Van Buren,124,90.8
Wapello,136.1,100.2
Warren,157.1,102.4
Washington,153,132.5
Wayne,157,73.1
Webster,190.1,168.4
Winnebago,189.6,184.1
Winneshiek,186.4,190.5
Woodbury,172.2,164.3
Worth,187.9,193.2
Wright,183,150
